City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Chakrata,,30.7,77.85,62.87,76,0,3.4,clear sky
85,Joshimath,,30.5667,79.5667,74.17,57,1,3.31,clear sky
86,Auki,,-8.7676,160.7034,83.82,71,93,2.44,heavy intensity rain
87,Hammerfest,,70.6634,23.6821,52.25,100,90,10.36,light intensity drizzle
88,Norman Wells,,65.282,-126.8329,30.24,86,75,4.61,broken clouds
89,Jinan,,36.6683,116.9972,70.27,89,100,6.22,light rain
90,Yuxia,,34.0615,108.6291,65.01,97,100,3.29,light rain
91,Saint George,,37.1041,-113.5841,84.94,27,1,1.99,clear sky
92,Coquimbo,,-29.9533,-71.3436,55.13,87,0,5.75,clear sky
93,Nikolskoye,,59.7035,30.7861,47.79,98,72,3.94,broken clouds
94,Ostrovnoy,,68.0531,39.5131,44.02,87,100,17.58,overcast clouds
95,Palmer,,42.1584,-72.3287,57.38,82,1,0.0,clear sky
96,Ambatondrazaka,,-17.8333,48.4167,59.11,85,79,4.52,broken clouds
97,Port Hedland,,-20.3167,118.5667,86.05,21,37,12.66,scattered clouds
98,Cape Town,,-33.9258,18.4232,60.12,79,0,1.99,clear sky
99,Khatanga,,71.9667,102.5,32.63,81,96,11.18,overcast clouds
100,Elban,,50.1018,136.5094,63.34,59,100,8.72,overcast clouds
101,Coihaique,,-45.5752,-72.0662,39.15,87,20,3.44,light rain
102,Beloha,,-25.1667,45.05,67.57,69,0,7.74,clear sky
103,Tuktoyaktuk,,69.4541,-133.0374,32.0,93,75,16.11,broken clouds
104,Mixquiahuala,,20.2333,-99.2167,59.07,90,73,3.85,broken clouds
105,Upernavik,,72.7868,-56.1549,23.67,63,0,4.12,clear sky
106,Cheyenne,,41.14,-104.8203,69.24,21,1,11.5,clear sky
107,Carbonia,,39.1672,8.5222,76.15,95,100,3.98,overcast clouds
108,Guerrero Negro,,27.9769,-114.0611,69.57,75,0,18.79,clear sky
109,Geraldton,,-28.7667,114.6,68.41,45,75,17.27,broken clouds
110,Lompoc,,34.6391,-120.4579,63.57,84,1,6.91,clear sky
111,Etchojoa,,26.9167,-109.6333,87.28,48,0,8.43,clear sky
112,Sitka,,57.0531,-135.33,53.49,58,90,9.22,overcast clouds
113,Znamenskoye,,57.1281,73.8282,37.51,78,98,9.17,overcast clouds
114,Chunoyar,,57.4467,97.3217,37.2,98,100,5.55,light rain
115,Paramonga,,-10.6667,-77.8333,62.15,87,56,7.18,broken clouds
116,Severobaykalsk,,55.65,109.3167,40.21,50,48,3.69,scattered clouds
117,Sibolga,,1.7427,98.7792,78.98,87,100,1.88,overcast clouds
118,Portland,,45.5234,-122.6762,72.43,68,78,4.0,broken clouds
119,Broken Hill,,-31.95,141.4333,69.51,13,2,6.91,clear sky
120,Novikovo,,51.1537,37.8879,48.54,84,99,14.81,overcast clouds
121,Vallenar,,-28.5708,-70.7581,66.54,42,0,0.6,clear sky
122,Yellowknife,,62.456,-114.3525,42.57,87,20,4.61,few clouds
123,Bayan,,46.0833,127.4,62.74,94,100,14.03,light rain
124,Andilamena,,-17.0167,48.5833,58.3,86,100,9.37,overcast clouds
125,Ancud,,-41.8697,-73.8203,38.73,82,59,4.0,broken clouds
126,Hobart,,-42.8794,147.3294,59.11,47,20,4.0,few clouds
127,Rawson,,-43.3002,-65.1023,51.01,31,5,8.55,clear sky
128,Luderitz,,-26.6481,15.1594,57.18,94,55,16.93,broken clouds
129,Souillac,,-20.5167,57.5167,71.37,94,75,18.41,broken clouds
130,Sattahip,,12.6664,100.9007,88.99,79,20,2.3,few clouds
131,Zyryanka,,65.75,150.85,36.19,86,100,16.51,light rain
132,Baykit,,61.67,96.37,38.77,62,100,10.65,overcast clouds
133,Hambantota,,6.1241,81.1185,80.94,89,100,11.5,overcast clouds
134,Ribeira Grande,,38.5167,-28.7,68.34,73,73,21.7,broken clouds
135,Batagay,,67.6333,134.6333,37.72,64,93,8.28,overcast clouds
136,Awjilah,,29.1081,21.2869,69.08,65,0,8.37,clear sky
137,Henties Bay,,-22.116,14.2845,55.85,94,56,5.46,broken clouds
138,Vardo,,70.3705,31.1107,48.4,85,100,15.21,overcast clouds
139,Lata,,40.1629,-8.3327,63.05,98,96,0.87,overcast clouds
140,Matamoros,,25.5333,-103.25,78.84,44,77,7.38,broken clouds
141,Thinadhoo,,0.5333,72.9333,82.35,75,100,15.88,overcast clouds
142,Ambo,,-10.1308,-76.2047,60.55,90,28,2.71,scattered clouds
143,Chokurdakh,,70.6333,147.9167,27.19,87,100,19.39,light snow
144,Faya,,18.3851,42.4509,62.71,24,2,3.91,clear sky
145,Skelleftea,,64.7507,20.9528,44.96,100,20,2.3,fog
146,Vila Franca Do Campo,,37.7167,-25.4333,70.2,93,100,8.57,overcast clouds
