City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1678,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1679,Sao Felix Do Xingu,BR,76.66,broken clouds,-6.6447,-51.995,Rio Xingu Camping
1681,Mitsamiouli,KM,75.38,clear sky,-11.3847,43.2844,Foyer ADM
1687,Tezu,IN,89.06,broken clouds,27.9167,96.1667,Circuit House
1688,Puerto Madero,MX,77.2,broken clouds,14.7208,-92.4215,Hotel La Central
1690,Ati,TD,81.34,overcast clouds,13.2154,18.3353,
1692,Acarau,BR,78.98,few clouds,-2.8856,-40.12,castelo pizzaria
1696,Mogadishu,SO,77.94,scattered clouds,2.0371,45.3438,Hotel Juba
1697,Mlonggo,ID,85.89,broken clouds,-6.5333,110.7,Asia Metal Art
1699,Jaicos,BR,81.7,scattered clouds,-7.3592,-41.1378,Hotel Jaicós
1700,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
1703,Calabozo,VE,76.84,broken clouds,8.9242,-67.4293,Hotel Giardini
1707,Hirara,JP,88.07,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
1708,Nanakuli,US,87.75,few clouds,21.3906,-158.1547,Camp Pālehua
1711,Tarabha,IN,81.32,overcast clouds,20.7333,83.65,The spicy house
1712,Taoudenni,ML,89.82,clear sky,22.6783,-3.9836,
1713,Sanghar,PK,84.27,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
1718,Limoeiro Do Ajuru,BR,78.94,few clouds,-1.8953,-49.3806,Hotel Dalva
1722,Alizai,PK,78.85,clear sky,33.5383,70.3462,Alizai Rest House
1724,Pontes E Lacerda,BR,75.85,clear sky,-15.2261,-59.3353,Hotel Bressan
1729,Mayor Pablo Lagerenza,PY,82.17,scattered clouds,-19.9309,-60.7718,
1732,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
1734,Port Augusta,AU,80.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
1736,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
1737,Dingle,PH,86.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
1738,Naze,JP,85.12,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
1742,Nha Trang,VN,87.8,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
1744,Kidal,ML,84.18,clear sky,18.4411,1.4078,
1745,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
1749,Hasaki,JP,77.29,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
1754,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
1757,Barmer,IN,86.88,few clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
1763,Wanxian,CN,82.96,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
1766,Dzidzantun,MX,75.74,scattered clouds,21.25,-89.05,Hacienda San Francisco Tzacalha
1769,Monrovia,LR,75.15,moderate rain,6.3005,-10.7969,Sunset Inn
1770,Dumas,US,76.66,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
1771,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
1773,Hue,VN,86.11,few clouds,16.4667,107.6,Saigon Morin Hotel
1777,Lasem,ID,87.19,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
1782,Isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
1789,Laguna,US,76.82,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
1791,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
1793,Bengkulu,ID,82.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1795,Sarankhola,BD,83.1,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
1796,Namuac,PH,86.95,few clouds,18.6109,121.1657,Mlin Hotel
1800,Waingapu,ID,86.04,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
1802,Chabahar,IR,81.81,few clouds,25.2919,60.643,هتل گدروشیا
1803,Kawalu,ID,79.03,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
1806,Kapit,MY,84.94,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
